あ,さあ,は
うつくしい,じんじゃ,へります
うま,しんせつ,ベルリン
うまい,しんせつにします,へん
うまくいきます,しんねんかい,べん
うまれます,しんぱいします,べんきょう
うみ,しんぱい,べんきょうします
うめ,しんぶん,べんごし
うら,ず,へんじ
うりば,すいえい,べんとう
うります,スイス,べんり
うるさい,スイッチ,ぼうし
うれしい,すいどう,ほうそう
うれます,すいはんき,ぼうねんかい
うわぎ,ずいぶん,ほうほう
うん,すいます,ほうりつ
うんてんします,すいようび,ボーナス
うんどうかい,スーツ,ホームステイ
うんどうします,スーパー,ボール
え,スキー,ボールペン
エアコン,すき,ほかに
エアメール,すきます,ほかの
えいが,すぎます,ぼく
えいぎょう,すきやき,ぼくじょう
えいご,すぐ,ポケット
ええ,すくない,ほけんしょう
エーティーエム,スケジュール,ほし
えき,すごい,ほしい
えきいん,すごいですね,ぼしゅうちゅう
えきまえ,すこし,ほしょうしょ
えさ,すごします,ポスター
えだ,すし,ポスト
えっ,すずしい,ほそい
えはがき,スタート,ボタン
えほん,ずつ,ホッチキス
えらい,ずっと,ホテル
えらびます,すてきですね,ほど
エンジン,すてき,ほとんど
えんぴつ,すてます,ほめます
えんりょなく,ストレス,ボランテイア
おいくつ,すばらしい,ポルトガル
おいしい,スピーチ,ほん
おいそがしいですか,すべります,ぼんおどり
おいのり,スペイン,ホンコン
おいわい,ズボン,ほんしゃ
おうえんします,すみ,ほんだな
おおい,すみます,ほんとう
おおきい,すみません,ほんとうですか
おおきさ,すもう,ほんとうに
おおきな,すわります,ほんもの
オーストラリア,せ,ほんやくします
おおぜい,せい,マーク
おかあさん,せいかつ,まいあさ
おかえりなさい,せいかつします,まいしゅう
おかげさまで,せいこうします,まいつき
おかし,せいじ,まいとし
おかしい,せいせき,まいにち
おおくの,せいと,まいばん
おおさかじょう,せいひん,まいります
おおさかじょうこうえん,せいりします,まえ
おかず,セーター,まがります
おかね,せかい,まけます
おきば,せかいいさん,まご
おきます,せかいじゅう,まじめ
おきゃくさま,せき,まず
おきゃく,せきゆ,まずい
おく,せっけん,まぜます
おくさま,ぜったいに,また
おくさん,せつび,まだ
おくじょう,せつめいします,またいらっしゃってください
おくに,せつめいしょ,またこんどおねがいします
おくります,ぜひ,まだまだです
おくれます,せまい,まち
おげんきですか,せわをします,まちがい
おこさん,せん,まちがえます
おこないます,せんげつ,まちます
おさきに,せんしゅう,まっすぐ
おさきにどうぞ,せんせい,まつり
おさけ,ぜんぜん,まで
おさら,せんそう,までに
おじ,せんたくします,まど
おじいさん/おじいちゃん,せんたくもの,まとめます
おしいれ,せんぬき,まにあいます
おしえます,せんぶ,まもります
おしごと,ぜんぶで,マラソン
おじさん,そう,まる
おします,ぞう,まわします
しょうがつ,そうさ,まわり
おしらせ,そうしき,まん
しろ,そうじします,まんが
すし,そうしましょう,マンション
おせわになりました,そうだんします,まんなか
おそい,そうですか,みあい
そうしき,そうですね,ミーテイング
おそく,そこ,みえます
おだいじに,そして,みがきます
おたく,そだてます,みかん
おちます,そちら,みぎ
おちゃ,そつぎょうします,ミキサー
おちゃわん,そっち,みじがい
おちゃをたてます,そと,みず
おつかれさまでした,その,みせ
おっしゃいます,そのご,みせてください
おっと,そのままにします,みせます
おつり,そふ,みたいにしてください
おてあらい,ソフト,みち
おでかけですか,そぼ,みっか
てら,そら,みつかります
おと,それ,みつけます
おとうさん,それから,みっつ
おとうと,それで,みどり
おとうとさん,それなら,みなさま
おとこのこ,それに,みなさん
おとこのひと,それはおもしろいですね,みなと
おとしだま,それまでに,みなみ
おとします,そろそろしつれいします,みまい
としより,そろばん,みます
おととい,ぞんじます,みみ
おととし,そんな,みやげ
おどります,そんなに,ミルク
おなか,タイ,みんな
おなかがいっぱいです,だい,みんなで
おなかがすきます,たいいんします,むいか
おなじ,ダイエット,むかいます
おなまえは?,たいおんけい,むかえます
おにいさん,たいかい,むかし
おねえさん,だいがく,むぎ
おねがいがあるんですが,だいがくいん,むこう
おねがいします,だいじょうぶ,むずかしい
おば,たいせつ,むすこ
おばあさん/おばあちゃん,だいたい,むすこさん
おばさん,たいてい,むすめ
おはなみ,だいとうりよう,むすめさん
おはようございます,だいどころ,むだな
おひきだしですか,ダイニングキッチン,むっつ
ふろ,たいふう,むら
べんとう,たいへんですね,むり
おぼえていません,たいよう,むりに
おぼえます,タオル,むりょう
おまごさん,たおれます,むりをします
おまたせしました,たかい,め
おまちください,たかさ,めいし
まつり,たくさん,メール
みあい,たくはいびん,メールアドレス
みまい,だけ,めがね
みやげ,たしか,メキシコ
おめでとう,たしかめます,めしあがります
おめにかかります,だします,めずらしい
おもい,ただいま,メモします
おもいだします,ただしい,もう
おもいます,たちいりきんし,もういちど
おもさ,たちます,もういっぱいいかがですか
おもしろい,たったいま,もうかえらないと…
おもちゃ,たてます,もうしこみます
おもて,たてもの,もうします
おやすみなさい,たな,もうしわけありません
ゆ,たのしい,もうすぐ
およぎます,たのしみ,もうすこし
おります,たのしみにしています,もうです
おれます,たのしみます,もえます
おろします,たのみます,もえるごみ
おわり,たばこ,もくてき
おわりましょう,たぶん,もくようび
おわります,たべます,もし
おんがく,たべもの,もしもし
おんがくか,たまご,もちます
おんせん,たまに,もちろん
おんど,だめですか,もっていきます
おんなのこ,だめ,もってきます
おんなのひと,たります,もっと
か,だれ,もどします
が、,だれか,もとのところ
カーテン,だれでも,もどります
カード,たんじょうび,もの
かいがい,ダンス,もみじ
かいがん,だんだん,もらいます
かいぎ,だんぼう,もんだい
かいぎしつ,ちいさい,や
がいこく,ちいさな,やかん
かいしゃ,ちか,やきます
がいしゃ,ちかい,やきゅう
かいしゃいん,ちがいます,やくそく
かいじょう,ちかく,やくにたちます
かいだん,ちかてつ,やけど
かいちゅうでんとう,ちから,やけます
ガイド,ちきゅう,やこうバス
ガイドブック,チケット,やさい
かいます,ちず,やさしい
かいものします,ちち,やじるし
かいらん,ちゃいろ,やすい
かいわ,チャレンジします,やすみ
かえします,ちゃわん,やすみましょう
かえってきます,ちゃん,やすみます
かえます,チャンス,やせます
かえり,ちゃんと,やちん
かえります,ちゅう,やっつ
かお,ちゅういします,やっと
かがく,ちゅうがっこう,やぶれます
かがみ,ちゅうごく,やま
かかりいん,ちゅうし,やまのぼり
かかります,ちゅうしゃいはん,やみます
かぎ,ちゅうしゃじょう,やめます
かきます,ちょうし,やります
かぐ,ちょうせつします,やわらかい
がくせい,ちょうど,ゆ
かくにん,ちょうどいい,ゆうがた
かけます,ちょきんします,ゆうしょうします
かさ,ちょくせつ,ゆうびんきょく
かざります,ちょっと,ゆうべ
かし,おねがいがあるんですが,ゆうめい
かじ,ちょっとまで,ユーモア
かしこまりました,ついたち,ゆき
かしてください,ツイン,ゆしゅつします
かします,つかいます,ゆっくり
かしゅ,つかっていらっしゃるんですね,ゆにゅうします
ガス,つかれました,ゆびわ
ガスサービスセンター,つかれます,ゆめ
ガスレンジ,つき,よい
かぜ,つきに,よいます
かぞえます,つぎに,よういします
かぞく,つぎの,ようか
ガソリン,つきます,ようじ
かた,つくえ,ようしょく
かたい,つくります,ようす
かたかな,つけます,ようちえん
かたち,つごう,よかった
かたづきます,つたえます,よかったですね
かたづけます,つづきます,よかったら
カタログ,つづけます,よく
かちます,つつみます,よこ
かちょう,つとめます,よごします
がっかりします,つなみ,よごれます
がっこう,つま／かない,よしゅうします
かつしかほくさい,つまらない,よっか
カット,つめたい,よっつ
かど,つよい,よつや
かな,つり,よてい
かない,つれていきます,よていひょう
かないます,つれてきます,よびます
かなしい,て,よみかた
かならず,DVD,よみます
かなり,ていしょく,よやくします
かのじょ,データ,よる
かばん,デート,よろしくおつたえください
かびん,テーブル,よろしく
かぶき,でかけます,よわい
かぶります,てがみ,らいげつ
かべ,できます,らいしゅう
かまいません,できるだけ,らいねん
かみ,でぐち,らく
かみなり,でございます,ラジオ
かみます,デザイン,ラッシュ
ガム,ですから,りこんします
カメラ,テスト,リサイクルします
かよいます,てちょう,りゅうがくします
かようび,てつだいます,りゅうがくせい
から,テニス,リュック
からい,では,りょう
カラオケ,てぶくろ,りようします
からきました,でます,りょうしゅうしょ
ガラス,でも,りょうしん
からだ,でものみませんか,りょうり
からだにいい,てら,りょかん
かります,テレビ,りょこう
かるい,てん,りょこうしゃ
かれ,てんき,りんご
カレー,でんき,るす
カレンダー,てんきよほう,れい
かわ,てんきん,れいぞうこ
がわ,てんさい,れいぼう
かわいい,でんしじしょ,れきし
かわきます,でんしゃ,レストラン
かわります,でんち,レバー
かん,てんぷら,レモン
かんがえます,てんらんかい,れんきゅう
カンガルー,でんわ,れんしゅう
かんきり,でんわします,れんらくします
かんじ,と,ろうか
かんしゃします,ドア,ローン
かんたん,といいます,ろくおんします
かんづめ,という,ロシア
かんぱい,ドイツ,ロボット
がんばります,トイレ,ロンドン
かんりにん,どう,ろんぶん
き,どういう,わあ
きいろ,どういうふうになさいますか,ワイン
きえます,どういたしまして,わかい
きかい,どうぐ,わかします
きがつきます,どうして,わかりました
ききます,どうしましたか,わかります
きけん,どうぞ,わかりますか
きこえます,どうぞおあがりください,わかれます
きず,どうぞおげんきで,わしつ
きせつ,どうぞおしあわせに,わしょく
きそく,よろしく,わすれます
きた,とうちゃくします,わすれもの
きたない,どうでしょうか,わたくし
きちんと,どうなさいますか,わたし
きっさてん,どうぶつ,わたしたち
キッチン,どうぶつえん,わたします
きって,どうも,わたります
きっと,ありがとうございました,わらいます
きっぷ,おつかれさまでした,わりびき
きのう,どうやって,わるい
きびしい,とお,われます
きぶんがいい,とおい,
きぶんがわるい,とおか,
きます,とおく,
きみ,とおります,
きめます,とか、とか,
きもち,とかい,
きもちがいい,ときどき,
きもちがわるい,どくしん,
きもの,とくに,
キャッシュカード,とくべつ,
キャンセルします,とけい,
キャンプ,どこ,
きゅうきゅうしゃ,どこか,
きゅうけいします,どこでも,
きゅうこう,ところ,
ぎゅうどん,ところで,
きゅうに,としょかん,
ぎゅうにく,としより,
ぎゅうにゅう,とちゅうで,
きゅうりょう,どちら,
きょう,どちらさまでしょうか,
きょういく,どちらも,
きょうかい,とっきゅう,
きょうし,どっち,
きょうしつ,とても,
きょうだい,とどきます,
きょうみ,とどけます,
きょか,どなた,
きょく,どなたでも,
きょねん,となり,
きらい,どの,
きります,どのくらい,
きりん,とまります,
きれい,とめます,
きれます,ともだち,
キロ,どようび,
きをつけます,ドライバー,
きん,トラック,
きんいろ,ドラマ,
きんえん,とり,
きんがく,とりかえます,
きんかくじ,とりにく,
ぎんこう,とります,
ぎんこういん,どれ,
きんじょ,とれます,
きんちょうします,どろぼう,
きんようび,どんな,
ぐあい,ナイフ,
くうき,なおします,
くうこう,なおります,
くさります,なか,
くすり,ながい,
ください,ながさ,
くださいます,なかなか,
くだもの,なきます,
くち,なくします,
くつ,なくなります,
くつした,なげます,
くに,なさいます,
くみたてます,なぜ,
くもり,なつ,
くもります,ななつ,
くらい,なに,
ぐらい,なにか,
クラシック,なにご,
クラス,なのか,
グラム,なまえ,
クリーニング,なみ,
クリスマス,なみだ,
クリックします,ならいます,
グループ,ならびます,
くるま,ならべます,
くれます,なります,
くろ,なれます,
くろい,なん,
くわしい,なんかい,
くん,なんかいも,
げい,なんがつ,
けいかん,なんさい,
けいけん,なんじ,
けいざい,なんですか,
けいさつ,なんでも,
けいさんします,なんにち,
ケーキ,なんねん,
ケータイ,なんばん,
ゲーム,ナンプラー,
けが,なんぷん,
けさ,なんようび,
けしき,におい,
けしゴム,にがい,
けします,にぎやか,
けっこんしき,にく,
けっこんします,にげます,
げつようび,にさん,
けど,にさんにち,
けん,にし,
げんいん,にじかい,
けんがくします,にじゅうよっか,
けんかします,にちようび,
げんかん,について,
げんき,にっき,
けんきゅうしつ,にほんご,
けんきゅうします,にもつ,
けんきゅうしゃ,にゅういんします,
げんきん,にゅうがくしけん,
けんこう,にゅうがくします,
ほけんしょう,ニュース,
けんどう,にゅうりょくします,
げんりょう,によると,
こ,にわ,
ご,にんき,
こい,にんぎょう,
こいびと,ぬぎます,
ごう,ぬれます,
こうえん,ネクタイ,
ごうか,ねこ,
こうがい,ねだん,
ごうかくします,ねつ,
こうぎ,ねっしん,
こうくうびん,ねます,
こうこう,ねむい,
こうさてん,ねむります,
こうじょう,ねんがじょう,
こうちゃ,ノート,
こうつう,のこります,
こうばん,のしぶくろ,
こえ,のせます,
コース,のど,
コート,のどがかわきます,
コーナー,のところ,
コーヒー,のひとつ,
こくさい,のほう,
ここ,のぼります,
ごご,のみほうだい,
ここのか,のみます,
ここのつ,のみもの,
こころ,のりかえます,
こころから,のりば,
ごしゅじん,のります,
こしょう,,
ごぜん,,
ごぞんじです,,
こたえ,,
こたえます,,
ごちそうさま,,
ごちゅうもんは？,,
こちら,,
こちらこそどうぞよろしくおねがいします,,
こちらはさんです,,
こっかいぎじどう,,
こっち,,
コップ,,
こと,,
ことし,,
ことば,,
こども,,
こどもたち,,
この,,
このあいだ,,
このくらい,,
このごろ,,
このへん,,
ごはん,,
コピーします,,
こまかい,,
こまかいおかね,,
こまります,,
ごみ,,
ごみばこ,,
こみます,,
こめ,,
ごらんになります,,
ゴルフ,,
これ,,
これから,,
これからおせわになります,,
これでいいですか,,
これでおねがいします,,
これでおわりましょう,,
これでよろしいでしょうか,,
これら,,
ころ,,
ごろ,,
こわい,,
こわします,,
こわれます,,
こん,,
こんげつ,,
こんしゅう,,
コンテスト,,
こんど,,
こんな,,
こんなに,,
こんにちは,,
こんばん,,
コンビニ,,
こんや,,
こんやくします,,
,,
